element,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
Ar,6.876e-03,9.003e-03,7.520e-03,5.949e-03,1.363e-02,8.223e-03,3.332e-02,8.138e-02,4.233e-02,2.922e-02,3.327e-02,5.151e-03,1.812e-02,9.377e-03,2.442e-02,1.676e-02,3.630e-02,1.059e-01,2.940e-02,1.662e-02,2.131e-01,2.040e-01,2.068e-01,3.332e-02
K,1.024e-04,6.324e-05,8.379e-05,7.242e-05,1.434e-04,3.885e-05,6.941e-04,5.200e-03,1.032e-03,5.749e-04,6.161e-04,2.210e-04,1.158e-04,7.259e-05,3.933e-04,3.709e-04,4.693e-04,1.497e-03,1.850e-04,1.850e-04,5.777e-03,1.354e-03,2.726e-03,4.199e-04
Ca,4.716e-03,6.549e-03,5.101e-03,4.201e-03,9.972e-03,6.659e-03,2.193e-02,3.652e-02,2.227e-02,2.190e-02,2.629e-02,4.694e-03,1.406e-02,8.242e-03,1.718e-02,1.064e-02,2.408e-02,9.664e-02,2.747e-02,1.451e-02,1.643e-01,1.777e-01,1.669e-01,2.737e-02
Sc,9.281e-06,2.356e-07,1.169e-06,4.061e-06,3.433e-07,3.419e-07,9.732e-06,1.531e-05,7.871e-06,9.697e-06,4.029e-06,4.116e-06,5.991e-06,6.445e-06,3.144e-06,8.444e-06,3.083e-06,6.995e-06,6.615e-06,1.700e-05,1.063e-05,9.902e-06,2.123e-05,5.086e-05
Ti,2.067e-04,2.906e-04,2.044e-04,2.571e-04,2.764e-04,2.240e-04,3.644e-04,7.208e-04,5.581e-04,3.176e-04,3.320e-04,2.192e-04,4.471e-04,3.327e-04,2.112e-04,3.127e-04,4.275e-04,5.951e-04,7.226e-04,5.709e-04,3.190e-03,3.170e-03,1.848e-03,1.752e-03
V,3.060e-05,2.902e-05,4.605e-05,2.511e-05,3.019e-05,2.514e-05,3.759e-05,7.593e-05,4.762e-05,3.332e-05,4.097e-05,2.501e-05,4.190e-05,3.125e-05,2.759e-05,4.414e-05,5.248e-05,6.461e-05,6.650e-05,7.652e-05,1.244e-04,1.058e-04,9.976e-05,1.004e-04
Cr,1.205e-03,1.826e-03,1.515e-03,1.398e-03,2.192e-03,2.105e-03,2.173e-03,2.347e-03,4.271e-03,1.762e-03,2.673e-03,1.636e-03,3.274e-03,2.766e-03,1.689e-03,2.058e-03,3.883e-03,4.013e-03,7.691e-03,4.368e-03,1.182e-02,1.347e-02,9.390e-03,8.962e-03
Mn,6.481e-04,9.107e-04,8.043e-04,7.965e-04,1.048e-03,1.023e-03,1.158e-03,1.189e-03,1.532e-03,8.244e-04,1.235e-03,9.258e-04,1.361e-03,9.616e-04,7.868e-04,1.161e-03,1.505e-03,1.975e-03,2.547e-03,1.763e-03,3.257e-03,3.777e-03,2.955e-03,3.219e-03
Fe,1.743e-01,1.572e-01,1.602e-01,1.579e-01,1.104e-01,8.887e-02,1.986e-01,1.446e-01,3.965e-01,1.329e-01,9.850e-02,1.244e-01,3.378e-01,2.954e-01,7.472e-02,1.427e-01,1.938e-01,2.226e-01,5.707e-01,5.507e-01,8.472e-01,1.015e+00,5.337e-01,1.052e+00
Co,3.552e-04,4.067e-04,5.119e-04,4.262e-04,2.202e-04,1.873e-04,4.413e-04,3.644e-04,6.587e-04,4.739e-04,6.771e-04,3.071e-04,5.760e-04,4.876e-04,4.386e-04,7.069e-04,6.941e-04,7.818e-04,6.676e-04,1.222e-03,2.587e-03,1.829e-03,9.423e-04,2.358e-03
Ni,1.744e-02,1.527e-02,1.477e-02,1.900e-02,7.637e-03,5.364e-03,1.824e-02,1.297e-02,3.020e-02,5.186e-02,3.098e-02,1.059e-02,2.857e-02,2.520e-02,1.611e-02,2.555e-02,3.397e-02,5.266e-02,3.087e-02,6.402e-02,1.276e-01,1.259e-01,8.823e-02,1.561e-01
Cu,6.742e-06,7.727e-06,7.863e-06,6.938e-06,3.474e-06,2.848e-06,7.312e-06,5.888e-06,1.460e-05,2.879e-05,1.953e-04,5.245e-06,1.323e-05,1.093e-05,1.495e-04,1.802e-04,1.959e-04,2.525e-04,1.215e-05,2.516e-05,4.294e-04,2.374e-04,5.063e-04,7.050e-05
Zn,7.692e-05,4.837e-05,5.900e-05,5.896e-05,2.355e-05,1.797e-05,7.512e-05,3.928e-05,1.552e-04,1.601e-04,5.124e-03,3.982e-05,1.373e-04,1.095e-04,4.559e-03,4.111e-03,3.495e-03,4.652e-03,1.438e-04,2.551e-04,4.877e-03,1.757e-03,4.946e-03,5.408e-04
