name,Z,A,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
o18,8,18,9.65161E-05,2.01767E-04,6.35593E-05,4.88293E-04,1.02171E-05,1.27946E-06,6.17891E-05,1.90141E-05,1.21443E-04,5.84476E-05,1.72928E-06,3.12798E-04,5.28863E-05,5.50686E-05,2.56904E-05,7.88495E-05,1.44118E-06,5.21735E-05,2.74376E-05,1.37030E-04,8.93425E-07,7.07352E-04,1.99313E-05,1.79047E-08
f19,9,19,5.88539E-07,5.42888E-06,5.73542E-08,1.49255E-06,1.18288E-06,2.75952E-06,1.14329E-05,7.85271E-07,1.12571E-05,1.20147E-05,9.49971E-06,3.93918E-05,1.30085E-05,1.23185E-05,3.07328E-05,7.56453E-05,1.66033E-06,1.45398E-03,6.76005E-05,1.05919E-04,1.16299E-04,2.14220E-04,2.45995E-05,4.31374E-05
ne20,10,20,1.17323E-02,2.95560E-01,2.37349E-01,1.68233E-02,6.50463E-01,5.60810E-01,6.98994E-01,2.96182E-02,6.10892E-01,9.41093E-01,1.00236E+00,1.28172E+00,1.06984E+00,1.33646E+00,1.31283E+00,1.32575E+00,1.69706E+00,1.49189E+00,1.96131E+00,2.41009E+00,3.83001E+00,3.37974E+00,3.93106E+00,2.53795E+00
ne21,10,21,7.46315E-07,4.92833E-05,7.31208E-05,4.85025E-05,5.56346E-04,6.23123E-04,9.85328E-04,2.31345E-04,1.13206E-03,2.83329E-03,1.46307E-03,1.22156E-03,5.38162E-03,2.81976E-03,3.52250E-03,3.06484E-03,4.09648E-03,6.19443E-03,4.86762E-03,1.62709E-03,1.45927E-03,1.38493E-03,1.16948E-03,1.67589E-03
ne22,10,22,6.08220E-04,8.42086E-04,8.36195E-04,7.05295E-03,4.43920E-03,4.65048E-03,5.62525E-03,1.31685E-02,1.17843E-02,1.63085E-02,6.62824E-03,1.70929E-02,1.74123E-02,2.31286E-02,1.40288E-02,2.63519E-02,1.19315E-02,7.60451E-02,2.53577E-02,1.51160E-02,3.10900E-03,2.77991E-03,1.07816E-03,1.37392E-02
na23,11,23,4.35512E-05,3.41749E-03,1.60536E-03,8.00153E-04,4.20108E-03,1.90524E-03,1.30430E-02,5.04119E-04,3.09451E-03,2.83343E-02,2.40615E-02,2.77206E-02,2.33612E-02,2.24003E-02,2.68169E-02,2.96867E-02,3.17176E-02,3.26792E-02,2.92335E-02,3.31817E-02,3.38658E-02,2.50855E-02,2.91092E-02,5.61231E-03
mg24,12,24,4.12155E-02,7.49073E-02,7.88780E-02,6.15989E-02,1.88492E-01,2.42289E-01,9.78593E-02,3.37528E-02,2.29751E-01,9.48746E-02,9.69808E-02,1.72498E-01,1.34007E-01,1.51433E-01,1.39584E-01,1.82670E-01,1.94579E-01,1.31960E-01,2.12726E-01,3.29452E-01,7.29307E-01,9.69362E-01,8.28836E-01,8.20537E-01
mg25,12,25,4.56601E-04,6.32013E-03,6.22521E-03,1.85224E-03,1.93680E-02,1.75997E-02,1.66402E-02,1.55085E-03,1.73272E-02,2.49613E-02,2.28711E-02,2.53386E-02,2.95106E-02,2.27413E-02,2.60986E-02,3.66725E-02,4.51563E-02,4.09063E-02,2.36371E-02,4.85507E-02,6.40725E-02,6.55592E-02,5.25100E-02,7.98589E-02
mg26,12,26,2.94000E-04,7.23499E-03,6.51279E-03,1.22732E-03,1.80262E-02,1.46376E-02,1.60157E-02,2.87736E-03,1.74788E-02,2.56210E-02,2.31344E-02,2.58624E-02,3.68931E-02,2.50075E-02,2.95668E-02,3.55165E-02,5.79487E-02,5.54416E-02,2.95779E-02,5.91938E-02,7.59628E-02,5.44760E-02,5.26310E-02,6.90119E-02
al27,13,27,5.08209E-03,9.17818E-03,8.73754E-03,8.06390E-03,1.96197E-02,2.42110E-02,1.41090E-02,3.31911E-03,2.20816E-02,1.98020E-02,1.88525E-02,2.43818E-02,2.30188E-02,1.91841E-02,2.21522E-02,2.83164E-02,3.25123E-02,2.70758E-02,2.52077E-02,4.99480E-02,7.02163E-02,6.31865E-02,5.54629E-02,8.32410E-02
