name,Z,A,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
fe56,26,56,1.63465E-01,1.38813E-01,1.44471E-01,1.44509E-01,9.63558E-02,7.82955E-02,1.79419E-01,1.30757E-01,3.73886E-01,1.19121E-01,8.67257E-02,1.13169E-01,3.16443E-01,2.82050E-01,6.68738E-02,1.29725E-01,1.77645E-01,1.79675E-01,5.44150E-01,5.23537E-01,7.92070E-01,9.14602E-01,4.75966E-01,9.96588E-01
fe57,26,57,5.44850E-03,5.57309E-03,6.97499E-03,6.11012E-03,3.18295E-03,2.44613E-03,5.92126E-03,4.83313E-03,1.08991E-02,6.04093E-03,1.81467E-03,4.10841E-03,9.90973E-03,8.54614E-03,1.52425E-03,4.03245E-03,4.93938E-03,5.37185E-03,1.33983E-02,1.73756E-02,2.45668E-02,2.82032E-02,1.47014E-02,3.43181E-02
fe58,26,58,5.06032E-09,6.51780E-07,1.05635E-05,3.28784E-05,2.46447E-08,1.09780E-06,6.85185E-07,1.97031E-05,2.04586E-07,8.00103E-07,5.09298E-06,2.39279E-05,9.32767E-09,4.81207E-07,2.90681E-06,1.03402E-04,2.61229E-07,2.59766E-07,8.21638E-06,1.01089E-04,3.30760E-07,2.15758E-06,6.19835E-06,2.95304E-04
co59,27,59,3.55197E-04,4.06690E-04,5.11885E-04,4.26172E-04,2.20214E-04,1.87311E-04,4.41257E-04,3.64395E-04,6.58694E-04,4.73905E-04,6.77142E-04,3.07062E-04,5.76021E-04,4.87563E-04,4.38640E-04,7.06900E-04,6.94112E-04,7.81795E-04,6.67589E-04,1.22236E-03,2.58665E-03,1.82932E-03,9.42317E-04,2.35801E-03
ni58,28,58,1.06094E-02,9.45042E-03,8.75192E-03,1.24636E-02,4.42953E-03,3.02739E-03,1.06652E-02,7.82789E-03,1.48380E-02,4.23255E-02,1.80104E-02,5.69208E-03,1.52682E-02,1.40950E-02,5.64464E-03,1.21253E-02,2.20218E-02,3.58053E-02,1.39990E-02,3.97143E-02,8.00836E-02,7.60050E-02,5.77962E-02,1.02872E-01
ni60,28,60,4.66710E-03,3.89199E-03,4.23517E-03,4.01883E-03,2.23593E-03,1.63688E-03,5.21252E-03,3.51117E-03,1.11742E-02,2.76346E-03,1.03858E-02,3.48352E-03,9.31811E-03,8.10266E-03,9.38367E-03,1.08442E-02,8.17089E-03,1.10338E-02,1.29678E-02,1.53512E-02,2.90979E-02,3.13292E-02,1.72539E-02,3.22354E-02
ni61,28,61,2.11331E-04,1.94815E-04,2.04812E-04,2.32913E-04,1.09272E-04,8.08631E-05,2.39854E-04,1.74720E-04,4.85414E-04,2.31502E-04,5.19874E-04,1.47247E-04,4.45696E-04,3.41439E-04,4.23028E-04,5.67755E-04,5.86224E-04,7.47034E-04,5.22635E-04,7.26354E-04,1.80552E-03,1.70960E-03,1.10647E-03,1.59438E-03
ni62,28,62,1.95315E-03,1.72836E-03,1.58142E-03,2.28263E-03,8.62383E-04,6.18952E-04,2.11905E-03,1.45778E-03,3.69906E-03,6.54411E-03,2.06352E-03,1.26548E-03,3.53570E-03,2.66057E-03,6.56261E-04,2.00920E-03,3.19526E-03,5.07017E-03,3.38438E-03,8.22935E-03,1.66583E-02,1.68693E-02,1.20707E-02,1.93764E-02
ni64,28,64,9.04548E-16,3.25984E-08,1.18720E-07,2.05639E-10,1.36892E-15,2.89881E-09,6.36053E-10,1.26085E-09,9.41220E-11,1.01753E-08,6.96669E-08,2.19702E-07,2.47829E-15,6.67418E-09,5.19297E-08,2.06651E-06,2.42314E-08,4.58013E-08,9.95075E-08,1.24982E-06,1.77179E-09,2.56173E-09,1.92054E-06,1.45017E-06
cu63,29,63,3.66708E-06,4.19005E-06,4.72145E-06,2.93257E-06,1.33861E-06,1.13226E-06,3.83244E-06,2.39575E-06,7.66522E-06,2.45992E-05,1.45173E-04,2.45002E-06,6.49334E-06,6.55931E-06,9.56074E-05,1.18333E-04,1.44118E-04,1.71742E-04,5.63426E-06,1.36922E-05,3.61859E-04,1.98164E-04,3.09439E-04,4.49568E-05
cu65,29,65,3.07504E-06,3.53658E-06,3.14163E-06,4.00567E-06,2.13558E-06,1.71597E-06,3.47912E-06,3.49209E-06,6.93919E-06,4.18997E-06,5.01237E-05,2.79481E-06,6.74071E-06,4.37492E-06,5.38852E-05,6.18976E-05,5.18226E-05,8.07579E-05,6.51653E-06,1.14710E-05,6.75498E-05,3.92148E-05,1.96892E-04,2.55443E-05
zn64,30,64,3.23938E-05,1.39629E-05,2.56300E-05,1.26536E-05,7.50720E-06,6.39121E-06,2.80605E-05,1.00099E-05,5.92241E-05,3.04243E-05,4.82077E-03,1.22324E-05,4.96818E-05,5.46025E-05,4.28712E-03,3.82030E-03,3.24288E-03,4.28467E-03,6.23377E-05,6.02109E-05,4.18524E-03,1.24312E-03,2.65010E-03,1.27608E-04
zn66,30,66,4.42032E-05,3.42498E-05,3.31088E-05,4.61003E-05,1.59649E-05,1.15168E-05,4.67266E-05,2.91054E-05,9.52870E-05,1.27942E-04,2.91893E-05,2.74644E-05,8.68699E-05,5.42200E-05,2.65012E-05,6.17718E-05,5.63404E-05,9.36084E-05,8.09507E-05,1.93860E-04,2.98851E-04,3.99051E-04,1.68779E-03,4.08842E-04
zn67,30,67,1.40026E-07,1.33169E-07,1.15923E-07,1.80607E-07,6.59899E-08,5.33824E-08,1.57219E-07,1.50000E-07,2.66773E-07,9.60741E-07,6.03323E-06,7.62387E-08,3.01115E-07,2.03935E-07,6.96743E-06,9.33436E-06,4.78478E-06,8.99078E-06,1.78453E-07,4.83111E-07,1.06131E-05,7.23221E-06,3.54421E-04,1.73298E-06
zn68,30,68,1.84069E-07,2.79721E-08,1.40680E-07,2.39542E-08,1.22310E-08,1.02431E-08,1.78704E-07,1.90040E-08,4.55999E-07,7.71452E-07,2.68129E-04,4.96369E-08,4.07523E-07,5.12805E-07,2.37985E-04,2.19631E-04,1.90496E-04,2.64985E-04,3.01745E-07,4.97513E-07,3.82302E-04,1.07907E-04,2.53601E-04,2.60247E-06
zn70,30,70,6.56479E-25,2.40523E-12,2.78160E-12,9.71542E-20,9.06978E-21,3.53132E-14,8.58952E-17,6.87488E-24,1.67404E-17,1.36905E-12,1.83133E-12,1.27093E-11,3.91984E-19,4.27004E-13,1.14049E-12,4.96866E-10,7.34165E-13,2.41579E-12,4.71259E-12,1.29300E-10,3.40858E-15,4.23558E-16,3.40344E-10,3.14856E-11
